con,occ
11.0,72
12.0,5724
13.0,88676
14.0,209788
15.0,320534
16.0,347785
17.0,287366
18.0,287865
19.0,243008
20.0,199836
21.0,210758
22.0,192583
23.0,182727
24.0,174290
25.0,163374
26.0,155272
27.0,143162
28.0,130500
29.0,112008
30.0,91916
31.0,72556
32.0,56917
33.0,54493
34.0,54090
35.0,54316
36.0,46218
37.0,50302
38.0,55022
39.0,75043
40.0,83705
41.0,78315
42.0,85356
43.0,78509
44.0,75542
45.0,60390
46.0,49285
47.0,48618
48.0,31932
49.0,12274
50.0,1795
51.0,180
53.0,204161
