params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8679496569132713,0.03610664302316956,9,18.186901172002155,3.522764299875869,0.2756073474884033,0.09547273508236
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8324790341086117,0.07598317651280324,191,22.319536685943604,4.341533312971623,0.2882445653279622,0.09692278497912965
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8591822541526178,0.05016748200923972,51,26.438902934392292,5.332566206443217,0.30594714482625324,0.10472012449396899
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8538777495240996,0.0550640938454238,81,30.278949737548828,6.308862252423927,0.3188798427581787,0.1201029682959228
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8515109889595737,0.05965706832283568,97,35.49784445762634,7.753932787596627,0.35546350479125977,0.12672258632637157
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8658964650453048,0.04645879585322351,14,40.27862318356832,8.744571932309896,0.3813145160675049,0.13569662238728553
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8730295988830856,0.03295985489601097,1,50.30969921747843,10.409875459760531,0.7121414343516032,0.25510574383349127
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 100}",0.835121082120401,0.07318026849006569,185,61.40060901641846,12.69849971823864,0.7350457509358724,0.26125487776066997
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8587900098220668,0.05083693745631852,53,72.10998606681824,15.06630571069359,0.8409167925516764,0.23515022493348256
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8569907718650591,0.0539303399543959,62,83.90321000417073,18.463913303896277,0.7767471472422282,0.27086946657256095
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8561301143299204,0.05647741273723185,69,99.87164958318074,22.27671292417139,0.8196241855621338,0.2829049717623954
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8663671889970591,0.04783641572174452,13,115.50887139638265,25.94764531313563,0.8457545439402262,0.2848720644045845
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8724334804270226,0.03354014928389341,3,81.2541286945343,16.457509224912506,1.17430845896403,0.41330320946184484
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8393627350646963,0.06860299581858985,164,100.66233094533284,20.79312454467129,1.222475528717041,0.39601693850727737
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8599124428017992,0.05039718452390432,45,120.10138161977132,26.315282729201833,1.2396632830301921,0.40997110949987053
