params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8646583579044392,0.0423549507432043,47,353.4625427722931,249.10935648536275,2.2832303047180176,1.405705860789155
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8642663428503753,0.03960141798937719,51,478.1902451515198,448.40800985995077,3.5218447049458823,1.452157684889264
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8631325064095753,0.04150574899759762,59,487.82689086596173,345.91968236250705,4.212324619293213,1.6646516324197282
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8718318837654015,0.0435868905810741,19,321.696502049764,211.55634555736253,3.414240996042887,2.179756812429234
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8235697832577685,0.0588571333375593,141,415.0208782354991,259.3646780777271,1.4252403577168782,0.6639950776952719
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8314059053629873,0.029744548619506466,135,282.4544178644816,215.8627739824171,0.9019368489583334,0.6142685032636332
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8394661868547529,0.021994331809935673,123,867.9490766525269,585.3257985932519,2.86503799756368,1.8390039178717954
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 200}",0.851096696272081,0.0333623094269478,87,432.2890474796295,398.4749939808594,1.518178939819336,1.223738534672352
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8572934002970188,0.02013233267207695,73,389.57289544741315,279.7094750301694,1.4955447514851887,1.0584617999480128
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 400}",0.855124479988242,0.0310608515298408,81,389.17436003685,160.98765278600595,1.4958762327829997,0.6931987640583895
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8235697832577685,0.0588571333375593,141,455.5239911874135,252.0689635833972,1.4089643160502117,0.5726017462554319
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8314059053629873,0.029744548619506466,135,308.4063223203023,208.4517777008684,0.9067269961039225,0.5867842307870422
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8394661868547529,0.021994331809935673,123,859.0626838207245,571.8436445632151,2.928635040918986,1.8641419178787473
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 200}",0.851096696272081,0.0333623094269478,87,420.50226068496704,394.5858578863201,1.48349134127299,1.2946882788940488
