params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8686056449386207,0.046583345651516644,8,68.70252712567647,15.717595053253346,0.6188197135925293,0.44603608624309715
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8718329732978806,0.03346530663523262,5,84.73561636606853,16.678905090561454,0.8486421902974447,0.48958008700618805
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8378977021662316,0.06913566735059248,172,110.53867769241333,22.47261387709333,0.8772831757863363,0.2576196813259338
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8604014939691539,0.04877489317295415,41,130.41707452138266,28.02408828107558,0.8468197186787924,0.19508384230775339
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8567742711692928,0.05399748196319407,64,153.60763692855835,31.711105337098395,1.0370494524637859,0.34876365241375873
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8560279859728911,0.05616676610915027,70,182.93861198425293,43.9953738441144,1.1171904404958088,0.04078831358564742
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8665144679083393,0.04885396918788558,12,210.87911558151245,50.196507370798905,0.9488572279612223,0.3011018523634683
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8709626430961573,0.034502355536552155,6,143.7658665974935,34.142587014129774,1.3240389823913574,0.43929097400475564
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8415447102029748,0.06532300085001554,157,173.60940885543823,38.153364632570984,1.774966796239217,0.5614876397989785
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8604972712454674,0.04934093320668171,40,215.57778016726175,45.772847377385354,1.187529484430949,0.48039198107054576
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8561902432784955,0.05463903389128114,68,245.55703298250833,54.52695321863788,1.4474247296651204,0.42969108241217213
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8536349473011637,0.05846730665380856,85,300.2744304339091,68.23112376888032,1.3240029017130535,0.44174566406552995
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.8, 'classification__n_estimators': 500, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8643036821055999,0.050096886999065136,23,351.0570632616679,69.10755438194033,2.127708991368612,0.48814830704787804
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 75}",0.528719566461472,0.10227150049254165,217,1.965651035308838,0.41156754257760797,0.25269603729248047,0.14782724540281147
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 100}",0.528719566461472,0.10227150049254165,217,2.2370232741038003,0.39826684254326955,0.23557662963867188,0.08305422963175753
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 150}",0.528719566461472,0.10227150049254165,217,2.4897894859313965,0.45013497092900245,0.31686004002888996,0.17601676399287688
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 200}",0.528719566461472,0.10227150049254165,217,2.784930149714152,0.5291835108310801,0.3095308144887288,0.11948334920520004
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 300}",0.528719566461472,0.10227150049254165,217,2.469616095225016,0.2983367449820003,0.2625435988108317,0.09498318407205028
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 400}",0.528719566461472,0.10227150049254165,217,2.00148868560791,0.4811967537668573,0.40708446502685547,0.1385972180773521
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 75}",0.528719566461472,0.10227150049254165,217,4.655612866083781,0.8426711393474486,0.7961839040120443,0.2448930220485012
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 100}",0.528719566461472,0.10227150049254165,217,4.012292305628459,1.0176178746501383,0.5604062080383301,0.32558161177607603
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 150}",0.528719566461472,0.10227150049254165,217,3.7391701539357505,1.1190143317082815,0.6056771278381348,0.26152423150808
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 1, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 200}",0.528719566461472,0.10227150049254165,217,3.1453944047292075,0.38172131477173543,0.6689074834187826,0.21148271396750962
