params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8782701223407159,0.029914058048036724,5,311.9822401205699,169.45474694568574,2.7361056009928384,1.1829325694004749
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.8782701223407159,0.029914058048036724,5,391.1852412223816,167.03745269407125,2.777874310811361,1.2289522892282416
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.870330204342704,0.027716501916574876,11,572.5107466379801,410.7812469171203,2.9207093715667725,3.1459790223670745
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.870330204342704,0.027716501916574876,11,576.5324292182922,393.39827513189937,3.16251810391744,3.222200694689979
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8614990258327357,0.020472249812182486,19,720.7601442337036,364.3744327019988,3.156039237976074,3.0635547755469354
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24}",0.8614990258327357,0.020472249812182486,19,703.0160039265951,355.52638455702095,3.4362661838531494,2.755140570421134
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8809513806529403,0.029194688801089733,1,458.08341058095294,174.70869026427926,4.109461784362793,0.30188163717064215
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.8809513806529403,0.029194688801089733,1,464.82294090588886,178.74096890720023,4.150199969609578,0.67233666482427
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.865347592379743,0.026539889797012592,17,915.5318059921265,872.7232478993333,5.249765793482463,6.4885902610563795
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.865347592379743,0.026539889797012592,17,891.0502381324768,849.1535806852228,5.239949703216553,6.487740160516916
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8547209993006941,0.02216539428344109,23,674.024897813797,343.19144817872433,2.2692113717397056,1.94249913692207
"{'classification__activation': 'relu', 'classification__alpha': 0.0005, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 500, 'classification__random_state': 24}",0.8547209993006941,0.02216539428344109,23,640.2579472859701,341.4053471775879,2.0132827758789062,1.6670905055435152
"{'classification__activation': 'relu', 'classification__alpha': 0.001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.878812650532471,0.025058458143334707,3,193.20407923062643,120.32063868436336,1.1324183940887451,1.189245756327045
"{'classification__activation': 'relu', 'classification__alpha': 0.001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.878812650532471,0.025058458143334707,3,183.8413066069285,113.6353374269872,1.1277058124542236,1.1773561626462918
"{'classification__activation': 'relu', 'classification__alpha': 0.001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8678293771564795,0.022277105852492717,13,1356.7415347099304,793.5164787534806,10.936156829198202,7.320511756401883
"{'classification__activation': 'relu', 'classification__alpha': 0.001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 500, 'classification__random_state': 24}",0.8678293771564795,0.022277105852492717,13,1368.6466600894928,786.1196270451295,10.940894365310669,6.884015927913946
"{'classification__activation': 'relu', 'classification__alpha': 0.001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300, 300), 'classification__max_iter': 200, 'classification__random_state': 24}",0.8557587536399919,0.02559675289675139,21,422.54476976394653,169.55691025991106,0.6833102703094482,0.40200103034674584
