params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8784722688080061,0.030627844702893092,5,942.2848600546519,328.8144990391969,346.14730111757916,80.01718354614513
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.878119705980081,0.032238226420013456,7,1047.6685405572255,372.55177394302353,549.9100164572397,124.55818821387925
"{'classification__C': 0.5, 'classification__gamma': 'auto', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.5513782526297953,0.0968580957088926,16,5686.377577940623,1520.5652281794703,1091.700373808543,528.7365849753184
"{'classification__C': 0.5, 'classification__gamma': 'auto', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8689052657371806,0.042236339579778424,10,2799.759503761927,1141.4314660348634,1001.0649178822836,510.2540556342145
"{'classification__C': 1, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8778677271702556,0.030669187198572825,8,774.8971896966299,242.21247131875478,314.8660418987274,108.94041859666444
"{'classification__C': 1, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.878459185246696,0.03314949124746532,6,876.916756550471,312.41367645727325,475.76846170425415,144.66874284482446
"{'classification__C': 1, 'classification__gamma': 'auto', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.763125975972184,0.058748697504654834,15,5234.35890809695,1293.3263847339358,1068.8743139108021,492.18328883479967
"{'classification__C': 1, 'classification__gamma': 'auto', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8870426265503303,0.023145133411176754,3,2943.74275525411,1419.5463227046484,696.1873908837637,448.26627813649463
"{'classification__C': 10, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8569359165728034,0.04807965290197173,11,479.57331649462384,203.15837372840437,150.69431710243225,37.439906138757856
"{'classification__C': 10, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8703562401509511,0.0333164145472791,9,489.54039041201275,212.14968392669758,228.80047512054443,80.34901580428102
"{'classification__C': 10, 'classification__gamma': 'auto', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8098903929899764,0.08120080108069827,13,3486.7858470280967,1169.0274230627424,648.8798064390818,320.8969520098009
"{'classification__C': 10, 'classification__gamma': 'auto', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8969158113775456,0.01833306929731961,1,1032.3713708718617,342.1881832009338,534.7196749051412,196.30522016018426
"{'classification__C': 100, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8227332908288659,0.0740260794141882,12,595.7096506754557,388.5250364353821,80.63060545921326,25.934607626912275
"{'classification__C': 100, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8072442867825481,0.0867532568691411,14,526.1131154696146,302.4540947941007,128.97858556111655,35.45902913682749
"{'classification__C': 100, 'classification__gamma': 'auto', 'classification__kernel': 'poly', 'classification__random_state': 24}",0.8827585153669247,0.017964356276550606,4,2364.7454472382865,941.1673540259819,386.47834372520447,186.8595814950488
"{'classification__C': 100, 'classification__gamma': 'auto', 'classification__kernel': 'rbf', 'classification__random_state': 24}",0.8933606829541056,0.024478637169839567,2,633.9223505655924,246.68917085927015,284.21714584032696,51.044257616298935
